"company","total_Layoffs"
"Bridge Connector",154.0
"ClassPass",154.0
"Qualcomm",153.0
"Patreon",151.0
"6sense",150.0
"Celsius",150.0
"Chipper Cash",150.0
"Convene",150.0
"Cruise",150.0
"Curology",150.0
"Domestika",150.0
"Fraazo",150.0
"HealthifyMe",150.0
"Instructure",150.0
"Kavak",150.0
"Lido",150.0
"Lummo",150.0
"Next Insurance",150.0
"PayU",150.0
"Pinterest",150.0
"Pleo",150.0
"Relativity",150.0
"Salsify",150.0
"Share Now",150.0
"Simple Feast",150.0
"Sinch",150.0
"Sprinklr",150.0
"Uber Freight",150.0
"VerSe Innovation",150.0
"Weee!",150.0
"Zwift",150.0
"Healthcare.com",149.0
"Knotel",147.0
"Leafly",147.0
"Minted",147.0
"Chrono24",145.0
"IronNet",145.0
"On Deck",145.0
"Zilingo",144.0
"Chargebee",142.0
"Exotel",142.0
"WanderJaunt",141.0
"Bizongo",140.0
"Bonterra",140.0
"Callisto Media",140.0
"ChowNow",140.0
"ContaAzul",140.0
"DraftKings",140.0
"Foodpanda",140.0
"GoodRx",140.0
"Impossible Foods copy",140.0
"LEAD",140.0
"Pagaya",140.0
"Reali",140.0
"Yojak",140.0
"Packable",138.0
"SSense",138.0
"Benevity",137.0
"Bluprint",137.0
"Omie",136.0
"Andela",135.0
"Dapper Labs",134.0
"Ula",134.0
"TouchBistro",131.0
"Amount",130.0
"Blueground",130.0
"CarGurus",130.0
"GitLab",130.0
"Guardant Health",130.0
"ID.me",130.0
"Liftoff",130.0
"Outreach",130.0
"Quanterix",130.0
"SirionLabs",130.0
"Takl",130.0
"Validity",130.0
"Wonder",130.0
"Evernote",129.0
"Veriff",129.0
"Mindstrong",127.0
"Bark",126.0
"Gusto",126.0
"PeerStreet",126.0
"EasyPost",125.0
"Malwarebytes",125.0
"NCC Group",125.0
"Westwing",125.0
"Tipalti",123.0
"TripleLift",123.0
"Cyren",121.0
"BioMarin",120.0
"Breather",120.0
"Captain Fresh",120.0
"Deliveroo Australia",120.0
"Fabric",120.0
"Greenhouse Software",120.0
"Khoros",120.0
"RigUp",120.0
"ScaleFocus",120.0
"SimilarWeb",120.0
"SmartNews",120.0
"Soluto",120.0
"Till Payments",120.0
"Trustly",120.0
"UpGrad",120.0
"Miro",119.0
"Nomad Health",119.0
"Knock",115.0
"Skit.ai",115.0
"Homepoint",113.0
"Genesis",112.0
"SoFi",112.0
"Pier",111.0
"Virgin Hyperloop",111.0
"Carousell",110.0
"Landing",110.0
"Namely",110.0
"NYDIG",110.0
"Sidecar Health",110.0
"Varonis",110.0
"Curative",109.0
"Ethos Life",108.0
"Turo",108.0
"Synthego",105.0
"Greenlight",104.0
"Komodo Health",101.0
"SummerBio",101.0
"10X Genomics",100.0
"Adaptive Biotechnologies",100.0
"Adobe",100.0
"Akulaku",100.0
"Babylon",100.0
"Berlin Brands Group",100.0
"Branch Metrics",100.0
"Bright Money",100.0
"Bryter",100.0
"Bullhorn",100.0
"Cashfree Payments",100.0
"Catch.com.au",100.0
"Checkmarx",100.0
"Checkout.com",100.0
"Circ",100.0
"Cognyte",100.0
"DealShare",100.0
"eGym",100.0
"EMX Digital",100.0
"Envato",100.0
"eToro",100.0
"F5",100.0
"Fifth Season",100.0
"Flatiron School",100.0
"ForeScout",100.0
"Gem",100.0
"Getaround",100.0
"Getir",100.0
"Highspot",100.0
"HP",100.0
"Hyperscience",100.0
"Jumio",100.0
"Jumpcloud",100.0
"Lemon",100.0
"Lendi",100.0
"Liv Up",100.0
"Lyric",100.0
"Mobile Premier League",100.0
"nCino",100.0
"NSO",100.0
"Pacaso",100.0
"PatientPop",100.0
"Polygon",100.0
"Productboard",100.0
"Remote",100.0
"Rock Content",100.0
"Ruggable",100.0
"Saks.com",100.0
"Snappy",100.0
"Starry",100.0
"Storytel",100.0
"SumUp",100.0
"Synopsys",100.0
"Taboola",100.0
"Traveloka",100.0
"Tul",100.0
"Udayy",100.0
"Veev",100.0
"Wefox",100.0
